noc_code,skill_level,class_title
0011,0,Legislators
0012,0,Senior government managers and officials
0013,0,"Senior managers - financial, communications and other business services"
0014,0,"Senior managers - health, education, social and community services and membership organizations"
0015,0,"Senior managers - trade, broadcasting and other services, n.e.c."
0016,0,"Senior managers - construction, transportation, production and utilities"
0111,0,Financial managers
0112,0,Human resources managers
0113,0,Purchasing managers
0114,0,Other administrative services managers
0011,0,Legislators
0012,0,Senior government managers and officials
0013,0,"Senior managers - financial, communications and other business services"
0014,0,"Senior managers - health, education, social and community services and membership organizations"
0015,0,"Senior managers - trade, broadcasting and other services, n.e.c."
0016,0,"Senior managers - construction, transportation, production and utilities"
0111,0,Financial managers
0112,0,Human resources managers
0113,0,Purchasing managers
0114,0,Other administrative services managers
0121,0,"Insurance, real estate and financial brokerage managers"
0122,0,"Banking, credit and other investment managers"
0124,0,"Advertising, marketing and public relations managers"
0125,0,Other business services managers
0131,0,Telecommunication carriers managers
0132,0,Postal and courier services managers
0211,0,Engineering managers
0212,0,Architecture and science managers
0213,0,Computer and information systems managers
0311,0,Managers in health care
0411,0,Government managers - health and social policy development and program administration
0412,0,"Government managers - economic analysis, policy development and program administration"
0413,0,Government managers - education policy development and program administration
0414,0,Other managers in public administration
0421,0,Administrators - post-secondary education and vocational training
0422,0,School principals and administrators of elementary and secondary education
0423,0,"Managers in social, community and correctional services"
0431,0,Commissioned police officers
0432,0,Fire chiefs and senior firefighting officers
0433,0,Commissioned officers of the Canadian Armed Forces
0511,0,"Library, archive, museum and art gallery managers"
0512,0,"Managers - publishing, motion pictures, broadcasting and performing arts"
0513,0,"Recreation, sports and fitness program and service directors"
0601,0,Corporate sales managers
0621,0,Retail and wholesale trade managers
0631,0,Restaurant and food service managers
0632,0,Accommodation service managers
0651,0,"Managers in customer and personal services, n.e.c."
0711,0,Construction managers
0712,0,Home building and renovation managers
0714,0,Facility operation and maintenance managers
0731,0,Managers in transportation
0811,0,Managers in natural resources production and fishing
0821,0,Managers in agriculture
0822,0,Managers in horticulture
0823,0,Managers in aquaculture
0911,0,Manufacturing managers
0912,0,Utilities managers
1111,A,Financial auditors and accountants
1112,A,Financial and investment analysts
1113,A,"Securities agents, investment dealers and brokers"
1114,A,Other financial officers
1121,A,Human resources professionals
1122,A,Professional occupations in business management consulting
1123,A,"Professional occupations in advertising, marketing and public relations"
1211,B,"Supervisors, general office and administrative support workers"
1212,B,"Supervisors, finance and insurance office workers"
1213,B,"Supervisors, library, correspondence and related information workers"
1214,B,"Supervisors, mail and message distribution occupations"
1215,B,"Supervisors, supply chain, tracking and scheduling co-ordination occupations"
1221,B,Administrative officers
1222,B,Executive assistants
1223,B,Human resources and recruitment officers
1224,B,Property administrators
1225,B,Purchasing agents and officers
1226,B,Conference and event planners
1227,B,Court officers and justices of the peace
1228,B,"Employment insurance, immigration, border services and revenue officers"
1241,B,Administrative assistants
1242,B,Legal administrative assistants
1243,B,Medical administrative assistants
1251,B,"Court reporters, medical transcriptionists and related occupations"
1252,B,Health information management occupations
1253,B,Records management technicians
1254,B,Statistical officers and related research support occupations
1311,B,Accounting technicians and bookkeepers
1312,B,Insurance adjusters and claims examiners
1313,B,Insurance underwriters
1314,B,"Assessors, valuators and appraisers"
1315,B,"Customs, ship and other brokers"
1411,C,General office support workers
1414,C,Receptionists
1415,C,Personnel clerks
1416,C,Court clerks
1422,C,Data entry clerks
1423,C,Desktop publishing operators and related occupations
1431,C,Accounting and related clerks
1432,C,Payroll administrators
1434,C,"Banking, insurance and other financial clerks"
1435,C,Collectors
1451,C,Library assistants and clerks
1452,C,"Correspondence, publication and regulatory clerks"
1454,C,Survey interviewers and statistical clerks
1511,C,"Mail, postal and related workers"
1512,C,Letter carriers
1513,C,"Couriers, messengers and door-to-door distributors"
1521,C,Shippers and receivers
1522,C,Storekeepers and partspersons
1523,C,Production logistics co-ordinators
1524,C,Purchasing and inventory control workers
1525,C,Dispatchers
1526,C,Transportation route and crew schedulers
2111,A,Physicists and astronomers
2112,A,Chemists
2113,A,Geoscientists and oceanographers
2114,A,Meteorologists and climatologists
2115,A,Other professional occupations in physical sciences
2121,A,Biologists and related scientists
2122,A,Forestry professionals
2123,A,"Agricultural representatives, consultants and specialists"
2131,A,Civil engineers
2132,A,Mechanical engineers
2133,A,Electrical and electronics engineers
2134,A,Chemical engineers
2141,A,Industrial and manufacturing engineers
2142,A,Metallurgical and materials engineers
2143,A,Mining engineers
2144,A,Geological engineers
2145,A,Petroleum engineers
2146,A,Aerospace engineers
2147,A,Computer engineers (except software engineers and designers)
2148,A,"Other professional engineers, n.e.c."
2151,A,Architects
2152,A,Landscape architects
2153,A,Urban and land use planners
2154,A,Land surveyors
2161,A,"Mathematicians, statisticians and actuaries"
2171,A,Information systems analysts and consultants
2172,A,Database analysts and data administrators
2173,A,Software engineers and designers
2174,A,Computer programmers and interactive media developers
2175,A,Web designers and developers
2211,B,Chemical technologists and technicians
2212,B,Geological and mineral technologists and technicians
2221,B,Biological technologists and technicians
2222,B,Agricultural and fish products inspectors
2223,B,Forestry technologists and technicians
2224,B,Conservation and fishery officers
2225,B,Landscape and horticulture technicians and specialists
2231,B,Civil engineering technologists and technicians
2232,B,Mechanical engineering technologists and technicians
2233,B,Industrial engineering and manufacturing technologists and technicians
2234,B,Construction estimators
2241,B,Electrical and electronics engineering technologists and technicians
2242,B,Electronic service technicians (household and business equipment)
2243,B,Industrial instrument technicians and mechanics
2244,B,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
2251,B,Architectural technologists and technicians
2252,B,Industrial designers
2253,B,Drafting technologists and technicians
2254,B,Land survey technologists and technicians
2255,B,Technical occupations in geomatics and meteorology
2261,B,Non-destructive testers and inspection technicians
2262,B,Engineering inspectors and regulatory officers
2263,B,Inspectors in public and environmental health and occupational health and safety
2264,B,Construction inspectors
2271,B,"Air pilots, flight engineers and flying instructors"
2272,B,Air traffic controllers and related occupations
2273,B,"Deck officers, water transport"
2274,B,"Engineer officers, water transport"
2275,B,Railway traffic controllers and marine traffic regulators
2281,B,Computer network technicians
2282,B,User support technicians
2283,B,Information systems testing technicians
3011,A,Nursing co-ordinators and supervisors
3012,A,Registered nurses and registered psychiatric nurses
3111,A,Specialist physicians
3112,A,General practitioners and family physicians
3113,A,Dentists
3114,A,Veterinarians
3121,A,Optometrists
3122,A,Chiropractors
3124,A,Allied primary health practitioners
3125,A,Other professional occupations in health diagnosing and treating
3131,A,Pharmacists
3132,A,Dietitians and nutritionists
3141,A,Audiologists and speech-language pathologists
3142,A,Physiotherapists
3143,A,Occupational therapists
3144,A,Other professional occupations in therapy and assessment
3211,B,Medical laboratory technologists
3212,B,Medical laboratory technicians and pathologists' assistants
3213,B,Animal health technologists and veterinary technicians
3214,B,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
3215,B,Medical radiation technologists
3216,B,Medical sonographers
3217,B,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
3219,B,Other medical technologists and technicians (except dental health)
3221,B,Denturists
3222,B,Dental hygienists and dental therapists
3223,B,"Dental technologists, technicians and laboratory assistants"
3231,B,Opticians
3232,B,Practitioners of natural healing
3233,B,Licensed practical nurses
3234,B,Paramedical occupations
3236,B,Massage therapists
3237,B,Other technical occupations in therapy and assessment
3411,C,Dental assistants
3413,C,"Nurse aides, orderlies and patient service associates"
3414,C,Other assisting occupations in support of health services
4011,A,University professors and lecturers
4012,A,Post-secondary teaching and research assistants
4021,A,College and other vocational instructors
4031,A,Secondary school teachers
4032,A,Elementary school and kindergarten teachers
4033,A,Educational counsellors
4111,A,Judges
4112,A,Lawyers and Quebec notaries
4151,A,Psychologists
4152,A,Social workers
4153,A,"Family, marriage and other related counsellors"
4154,A,Professional occupations in religion
4155,A,Probation and parole officers and related occupations
4156,A,Employment counsellors
4161,A,"Natural and applied science policy researchers, consultants and program officers"
4162,A,Economists and economic policy researchers and analysts
4163,A,Business development officers and marketing researchers and consultants
4164,A,"Social policy researchers, consultants and program officers"
4165,A,"Health policy researchers, consultants and program officers"
4166,A,"Education policy researchers, consultants and program officers"
4167,A,"Recreation, sports and fitness policy researchers, consultants and program officers"
4168,A,Program officers unique to government
4169,A,"Other professional occupations in social science, n.e.c."
4211,B,Paralegal and related occupations
4212,B,Social and community service workers
4214,B,Early childhood educators and assistants
4215,B,Instructors of persons with disabilities
4216,B,Other instructors
4217,B,Other religious occupations
4311,B,Police officers (except commissioned)
4312,B,Firefighters
4313,B,Non-commissioned ranks of the Canadian Armed Forces
4411,C,Home child care providers
4412,C,"Home support workers, housekeepers and related occupations"
4413,C,Elementary and secondary school teacher assistants
4421,C,Sheriffs and bailiffs
4422,C,Correctional service officers
4423,C,"By-law enforcement and other regulatory officers, n.e.c."
5111,A,Librarians
5112,A,Conservators and curators
5113,A,Archivists
5121,A,Authors and writers
5122,A,Editors
5123,A,Journalists
