teer_category,noc_code,class_title
0,10010,Financial managers
0,10011,Human resources managers
0,10012,Purchasing managers
0,10019,Other administrative services managers
0,10020,"Insurance, real estate and financial brokerage managers"
0,10021,"Banking, credit and other investment managers"
0,10022,"Advertising, marketing and public relations managers"
0,10029,Other business services managers
0,10030,Telecommunication carriers managers
0,20010,Engineering managers
0,10010,Financial managers
0,10011,Human resources managers
0,10012,Purchasing managers
0,10019,Other administrative services managers
0,10020,"Insurance, real estate and financial brokerage managers"
0,10021,"Banking, credit and other investment managers"
0,10022,"Advertising, marketing and public relations managers"
0,10029,Other business services managers
0,10030,Telecommunication carriers managers
0,20010,Engineering managers
0,20011,Architecture and science managers
0,20012,Computer and information systems managers
0,30010,Managers in health care
0,40010,Government managers - health and social policy development and program administration
0,40011,"Government managers - economic analysis, policy development and program administration"
0,40012,Government managers - education policy development and program administration
0,40019,Other managers in public administration
0,40020,Administrators - post-secondary education and vocational training
0,40021,School principals and administrators of elementary and secondary education
0,40030,"Managers in social, community and correctional services"
0,40040,Commissioned police officers and related occupations in public protection services
0,40041,Fire chiefs and senior firefighting officers
0,40042,Commissioned officers of the Canadian Armed Forces
0,50010,"Library, archive, museum and art gallery managers"
0,50011,"Managers - publishing, motion pictures, broadcasting and performing arts"
0,50012,"Recreation, sports and fitness program and service directors"
0,60010,Corporate sales managers
0,60020,Retail and wholesale trade managers
0,60030,Restaurant and food service managers
0,60031,Accommodation service managers
0,60040,Managers in customer and personal services
0,70010,Construction managers
0,70011,Home building and renovation managers
0,70012,Facility operation and maintenance managers
0,70020,Managers in transportation
0,70021,Postal and courier services managers
0,80010,Managers in natural resources production and fishing
0,80020,Managers in agriculture
0,80021,Managers in horticulture
0,80022,Managers in aquaculture
0,90010,Manufacturing managers
0,90011,Utilities managers
1,11100,Financial auditors and accountants
1,11101,Financial and investment analysts
1,11102,Financial advisors
1,11103,"Securities agents, investment dealers and brokers"
1,11109,Other financial officers
1,11200,Human resources professionals
1,11201,Professional occupations in business management consulting
1,11202,"Professional occupations in advertising, marketing and public relations"
1,21100,Physicists and astronomers
1,21101,Chemists
1,21102,Geoscientists and oceanographers
1,21103,Meteorologists and climatologists
1,21109,Other professional occupations in physical sciences
1,21110,Biologists and related scientists
1,21111,Forestry professionals
1,21112,"Agricultural representatives, consultants and specialists"
1,21120,Public and environmental health and safety professionals
1,21200,Architects
1,21201,Landscape architects
1,21202,Urban and land use planners
1,21203,Land surveyors
1,21210,"Mathematicians, statisticians and actuaries"
1,21211,Data scientists
1,21220,Cybersecurity specialists
1,21221,Business systems specialists
1,21222,Information systems specialists
1,21223,Database analysts and data administrators
1,21230,Computer systems developers and programmers
1,21231,Software engineers and designers
1,21232,Software developers and programmers
1,21233,Web designers
1,21234,Web developers and programmers
1,21300,Civil engineers
1,21301,Mechanical engineers
1,21310,Electrical and electronics engineers
1,21311,Computer engineers (except software engineers and designers)
1,21320,Chemical engineers
1,21321,Industrial and manufacturing engineers
1,21322,Metallurgical and materials engineers
1,21330,Mining engineers
1,21331,Geological engineers
1,21332,Petroleum engineers
1,21390,Aerospace engineers
1,21399,Other professional engineers
1,31100,Specialists in clinical and laboratory medicine
1,31101,Specialists in surgery
1,31102,General practitioners and family physicians
1,31103,Veterinarians
1,31110,Dentists
1,31111,Optometrists
1,31112,Audiologists and speech-language pathologists
1,31120,Pharmacists
1,31121,Dietitians and nutritionists
1,31200,Psychologists
1,31201,Chiropractors
1,31202,Physiotherapists
1,31203,Occupational therapists
1,31204,Kinesiologists and other professional occupations in therapy and assessment
1,31209,Other professional occupations in health diagnosing and treating
1,31300,Nursing coordinators and supervisors
1,31301,Registered nurses and registered psychiatric nurses
1,31302,Nurse practitioners
1,31303,"Physician assistants, midwives and allied health professionals"
1,41100,Judges
1,41101,Lawyers and Quebec notaries
1,41200,University professors and lecturers
1,41201,Post-secondary teaching and research assistants
1,41210,College and other vocational instructors
1,41220,Secondary school teachers
1,41221,Elementary school and kindergarten teachers
1,41300,Social workers
1,41301,Therapists in counselling and related specialized therapies
1,41302,Religious leaders
1,41310,Police investigators and other investigative occupations
1,41311,Probation and parole officers
1,41320,Educational counsellors
1,41321,Career development practitioners and career counsellors (except education)
1,41400,"Natural and applied science policy researchers, consultants and program officers"
1,41401,Economists and economic policy researchers and analysts
1,41402,Business development officers and market researchers and analysts
1,41403,"Social policy researchers, consultants and program officers"
1,41404,"Health policy researchers, consultants and program officers"
1,41405,"Education policy researchers, consultants and program officers"
1,41406,"Recreation, sports and fitness policy researchers, consultants and program officers"
1,41407,Program officers unique to government
1,41409,Other professional occupations in social science
1,51100,Librarians
1,51101,Conservators and curators
1,51102,Archivists
1,51110,Editors
1,51111,Authors and writers (except technical)
1,51112,Technical writers
1,51113,Journalists
1,51114,"Translators, terminologists and interpreters"
1,51120,"Producers, directors, choreographers and related occupations"
1,51121,"Conductors, composers and arrangers"
1,51122,Musicians and singers
2,12010,"Supervisors, general office and administrative support workers"
2,12011,"Supervisors, finance and insurance office workers"
2,12012,"Supervisors, library, correspondence and related information workers"
2,12013,"Supervisors, supply chain, tracking and scheduling coordination occupations"
2,12100,Executive assistants
2,12101,Human resources and recruitment officers
2,12102,Procurement and purchasing agents and officers
2,12103,Conference and event planners
2,12104,Employment insurance and revenue officers
2,12110,"Court reporters, medical transcriptionists and related occupations"
2,12111,Health information management occupations
2,12112,Records management technicians
2,12113,Statistical officers and related research support occupations
2,12200,Accounting technicians and bookkeepers
2,12201,Insurance adjusters and claims examiners
2,12202,Insurance underwriters
2,12203,"Assessors, business valuators and appraisers"
2,22100,Chemical technologists and technicians
2,22101,Geological and mineral technologists and technicians
2,22110,Biological technologists and technicians
2,22111,Agricultural and fish products inspectors
2,22112,Forestry technologists and technicians
2,22113,Conservation and fishery officers
2,22114,Landscape and horticulture technicians and specialists
2,22210,Architectural technologists and technicians
2,22211,Industrial designers
2,22212,Drafting technologists and technicians
2,22213,Land survey technologists and technicians
2,22214,Technical occupations in geomatics and meteorology
2,22220,Computer network and web technicians
2,22221,User support technicians
2,22222,Information systems testing technicians
2,22230,Non-destructive testers and inspectors
2,22231,Engineering inspectors and regulatory officers
2,22232,Occupational health and safety specialists
2,22233,Construction inspectors
2,22300,Civil engineering technologists and technicians
2,22301,Mechanical engineering technologists and technicians
2,22302,Industrial engineering and manufacturing technologists and technicians
2,22303,Construction estimators
2,22310,Electrical and electronics engineering technologists and technicians
2,22311,Electronic service technicians (household and business equipment)
2,22312,Industrial instrument technicians and mechanics
2,22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
2,32100,Opticians
2,32101,Licensed practical nurses
2,32102,Paramedical occupations
2,32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
2,32104,Animal health technologists and veterinary technicians
2,32109,Other technical occupations in therapy and assessment
2,32110,Denturists
2,32111,Dental hygienists and dental therapists
2,32112,Dental technologists and technicians
2,32120,Medical laboratory technologists
2,32121,Medical radiation technologists
2,32122,Medical sonographers
2,32123,Cardiology technologists and electrophysiological diagnostic technologists
2,32124,Pharmacy technicians
2,32129,Other medical technologists and technicians
2,32200,Traditional Chinese medicine practitioners and acupuncturists
2,32201,Massage therapists
2,32209,Other practitioners of natural healing
2,42100,Police officers (except commissioned)
2,42101,Firefighters
2,42102,Specialized members of the Canadian Armed Forces
2,42200,Paralegals and related occupations
2,42201,Social and community service workers
2,42202,Early childhood educators and assistants
2,42203,Instructors of persons with disabilities
2,42204,Religion workers
2,52100,Library and public archive technicians
2,52110,Film and video camera operators
2,52111,Graphic arts technicians
2,52112,Broadcast technicians
2,52113,Audio and video recording technicians
2,52114,Announcers and other broadcasters
2,52119,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts"
2,52120,Graphic designers and illustrators
2,52121,Interior designers and interior decorators
2,62010,Retail sales supervisors
2,62020,Food service supervisors
2,62021,Executive housekeepers
2,62022,"Accommodation, travel, tourism and related services supervisors"
2,62023,Customer and information services supervisors
2,62024,Cleaning supervisors
