noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date
0011 - Legislators,,,0011,Legislators,0,,,,2016,27446.0,67684.0,142825.0,78083.0,2016 Census,2016,2022-11-16
0012 - Senior government managers and officials,,,0012,Senior government managers and officials,0,,,,2016,25.5,55.03,84.62,54.87,Labour Force Survey,2020-2021,2022-11-16
"0013 - Senior managers - financial, communications and other business services",,,0013,"Senior managers - financial, communications and other business services",0,,,,2016,32.88,62.5,96.15,62.48,Labour Force Survey,2020-2021,2022-11-16
"0014 - Senior managers - health, education, social and community services and membership organizations",,,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,19.98,43.24,93.45,53.82,2016 Census,2016,2022-11-16
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,21.5,42.5,102.83,54.28,Employment Insurance Survey Data,2020-2021,2022-11-16
"0016 - Senior managers - construction, transportation, production and utilities",,,0016,"Senior managers - construction, transportation, production and utilities",0,,,,2016,13.0,46.71,159.72,83.61,2016 Census,2016,2022-11-16
0111 - Financial managers,10010 - Financial managers,,0111,Financial managers,0,10010,,0,"2016, 2021",31.25,52.88,80.0,54.88,Labour Force Survey,2020-2021,2022-11-16
0112 - Human resources managers,10011 - Human resources managers,,0112,Human resources managers,0,10011,,0,"2016, 2021",33.17,50.96,71.79,51.52,Labour Force Survey,2020-2021,2022-11-16
0113 - Purchasing managers,10012 - Purchasing managers,,0113,Purchasing managers,0,10012,,0,"2016, 2021",30.0,50.0,72.88,51.72,Labour Force Survey,2020-2021,2022-11-16
0114 - Other administrative services managers,10019 - Other administrative services managers,,0114,Other administrative services managers,0,10019,,0,"2016, 2021",24.04,45.44,67.58,45.97,Labour Force Survey,2020-2021,2022-11-16
"0121 - Insurance, real estate and financial brokerage managers","10020 - Insurance, real estate and financial brokerage managers",,0121,"Insurance, real estate and financial brokerage managers",0,10020,,0,"2016, 2021",29.75,51.65,77.13,53.43,Labour Force Survey,2020-2021,2022-11-16
"0122 - Banking, credit and other investment managers","10021 - Banking, credit and other investment managers",,0122,"Banking, credit and other investment managers",0,10021,,0,"2016, 2021",30.11,48.72,72.12,50.23,Labour Force Survey,2020-2021,2022-11-16
"0124 - Advertising, marketing and public relations managers","10022 - Advertising, marketing and public relations managers",,0124,"Advertising, marketing and public relations managers",0,10022,,0,"2016, 2021",24.36,48.08,74.36,49.47,Labour Force Survey,2020-2021,2022-11-16
0125 - Other business services managers,10029 - Other business services managers,,0125,Other business services managers,0,10029,,0,"2016, 2021",25.0,45.0,76.92,46.91,Labour Force Survey,2020-2021,2022-11-16
0131 - Telecommunication carriers managers,10030 - Telecommunication carriers managers,,0131,Telecommunication carriers managers,0,10030,,0,"2016, 2021",32.0,45.13,66.67,48.42,Labour Force Survey,2020-2021,2022-11-16
0132 - Postal and courier services managers,70021 - Postal and courier services managers,,0132,Postal and courier services managers,0,70021,,0,"2016, 2021",24.0,36.38,71.79,41.4,Labour Force Survey,2020-2021,2022-11-16
0211 - Engineering managers,20010 - Engineering managers,,0211,Engineering managers,0,20010,,0,"2016, 2021",39.5,57.69,86.54,60.26,Labour Force Survey,2020-2021,2022-11-16
0212 - Architecture and science managers,20011 - Architecture and science managers,,0212,Architecture and science managers,0,20011,,0,"2016, 2021",36.54,54.76,81.95,56.4,Labour Force Survey,2020-2021,2022-11-16
0213 - Computer and information systems managers,20012 - Computer and information systems managers,,0213,Computer and information systems managers,0,20012,,0,"2016, 2021",34.86,55.38,76.92,56.11,Labour Force Survey,2020-2021,2022-11-16
